id,name,lat,lng,category,country,city,sources,url,tags
6405,The Foster Care Co-operative,52.129202832,-2.307398793,ecovillage,GB,Malvern,Murmurations,fostercarecooperative.co.uk,Co-op
6406,Founders & Coders,51.558972108,-0.131247779,ecovillage,GB,London,Murmurations,foundersandcoders.com,Co-op
6407,Fountains Primary School,52.831639239,-1.636942357,ecovillage,GB,Burton on Trent,Murmurations,fountains-high.staffs.sch.uk,Co-op
6408,Fox Lane Market Garden Co-operative,57.144681945,-2.295985813,ecovillage,GB,Aberdeen,Murmurations,fox-lane.net,Co-op
6409,The Fox and Goose (Hebden Bridge),53.742058756,-2.021391526,ecovillage,GB,Hebden Bridge,Murmurations,foxandgoose.org,Co-op
6410,The Fox and Hounds (Denmead) Community Co-operative,50.906502458,-1.079123928,ecovillage,GB,Waterlooville,Murmurations,foxandhoundsco-operative-pub.uk,Co-op
6411,The Fox & Hounds (Ennerdale),54.528287114,-3.430541361,ecovillage,GB,Cleator,Murmurations,foxandhoundsinn.org,Co-op
6412,Foxes Trust,52.574397525,-1.110503317,ecovillage,GB,Wigston,Murmurations,foxestrust.co.uk,Co-op
6413,Fulham Palace Meadows Allotment Association,51.471789527,-0.217298707,ecovillage,GB,London,Murmurations,fpmaa.com,Co-op
6414,Fram Farmers,52.218469,1.3432991,ecovillage,GB,Woodbridge,Murmurations,framfarmers.co.uk,Co-op
6415,The Fell and Rock Climbing Club of the English Lake District,54.1934805,-3.0971286,ecovillage,GB,Ulverston,Murmurations,frcc.co.uk,Co-op
6416,Frome Renewable Energy Community,51.22959251,-2.334717115,ecovillage,GB,Frome,Murmurations,freco.org,Co-op
6417,Freedom Leisure,50.922591075,0.16129944,ecovillage,GB,East Hoathly,Murmurations,freedom-leisure.co.uk,Co-op
6418,Freeland Community Benefit Society,51.80667874,-1.397437343,ecovillage,GB,Witney,Murmurations,freelandcbs.community,Co-op
6419,National Federation of Progressive Co-operators,51.35018866,-0.159500862,ecovillage,GB,Carshalton,Murmurations,freewebs.com/progressivesuk,Co-op
6420,Frensham Village Shop,51.173097233,-0.794801133,ecovillage,GB,Farnham,Murmurations,frensham-village-shop.co.uk,Co-op
6421,Fresh Growers,53.132236572,-1.077729731,ecovillage,GB,Newark,Murmurations,freshgro.co.uk,Co-op
6422,West of England Friends Housing Society,51.466478848,-2.599329151,ecovillage,GB,Bristol,Murmurations,friendshousingbristol.org.uk,Co-op
6423,Bladon Village Shop,51.83073336,-1.350259348,ecovillage,GB,Bladon,Murmurations,friendsofstmartinsbladon.weebly.com/bladon-village-shop.html,Co-op
6424,The Friends of the Leas Pavilion,51.075401269,1.16851367,ecovillage,GB,Folkestone,Murmurations,friendsoftheleaspavilion.wordpress.com,Co-op
